Charmander/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Machoke/Repeat: 100%/Dusk: 100%/Ultra: 70.3%/Great: 52.7%/Net: 35.2%/Level: 70.3%(optimal conditions)/Fast: 35.2%/Heavy: 27.3%/ALL OTHERS: 35.2%
Machamp/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 17.6%/ALL OTHERS: 17.6%
Ponyta/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 74.2%/Level: 100%(optimal conditions)/Fast: 74.2%/Heavy: 66.4%/ALL OTHERS: 74.2%
Rapidash/Repeat: 82%/Dusk: 70.3%/Ultra: 46.9%/Great: 35.2%/Net: 23.4%/Level: 46.9%(optimal conditions)/Fast: 93.8%/Heavy: 15.6%/ALL OTHERS: 23.4%
Slowpoke/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 100%/Level: 100%(optimal conditions)/Fast: 74.2%/Heavy: 66.4%/ALL OTHERS: 74.2%
Farfetch'd/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Shellder/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 100%/Level: 100%(optimal conditions)/Fast: 74.2%/Heavy: 66.4%/ALL OTHERS: 74.2%
Cloyster/Repeat: 82%/Dusk: 70.3%/Ultra: 46.9%/Great: 35.2%/Net: 82%/Level: 46.9%(optimal conditions)/Fast: 23.4%/Heavy: 23.4%/ALL OTHERS: 23.4%
Gastly/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 74.2%/Level: 100%(optimal conditions)/Fast: 74.2%/Heavy: 66.4%/ALL OTHERS: 74.2%
Haunter/Repeat: 100%/Dusk: 100%/Ultra: 70.3%/Great: 52.7%/Net: 35.2%/Level: 70.3%(optimal conditions)/Fast: 35.2%/Heavy: 27.3%/ALL OTHERS: 35.2%
Gengar/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 70.3%/Heavy: 9.8%/ALL OTHERS: 17.6%
Onix/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 25.4%/ALL OTHERS: 17.6%
Krabby/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 100%/Level: 100%(optimal conditions)/Fast: 87.9%/Heavy: 80.1%/ALL OTHERS: 87.9%
Kingler/Repeat: 82%/Dusk: 70.3%/Ultra: 46.9%/Great: 35.2%/Net: 82%/Level: 46.9%(optimal conditions)/Fast: 23.4%/Heavy: 15.6%/ALL OTHERS: 23.4%
Hitmonlee/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Hitmonchan/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Koffing/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 74.2%/Level: 100%(optimal conditions)/Fast: 74.2%/Heavy: 66.4%/ALL OTHERS: 74.2%
Weezing/Repeat: 82%/Dusk: 70.3%/Ultra: 46.9%/Great: 35.2%/Net: 23.4%/Level: 46.9%(optimal conditions)/Fast: 23.4%/Heavy: 15.6%/ALL OTHERS: 23.4%
Rhyhorn/Repeat: 100%/Dusk: 100%/Ultra: 93.8%/Great: 70.3%/Net: 46.9%/Level: 93.8%(optimal conditions)/Fast: 46.9%/Heavy: 46.9%/ALL OTHERS: 46.9%
Rhydon/Repeat: 82%/Dusk: 70.3%/Ultra: 46.9%/Great: 35.2%/Net: 23.4%/Level: 46.9%(optimal conditions)/Fast: 23.4%/Heavy: 23.4%/ALL OTHERS: 23.4%
Mr. Mime/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Magikarp/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 100%/Level: 100%(optimal conditions)/Fast: 99.6%/Heavy: 91.8%/ALL OTHERS: 99.6%
Gyarados/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 61.5%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Lapras/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 61.5%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 25.4%/ALL OTHERS: 17.6%
Ditto/Repeat: 47.9%/Dusk: 41%/Ultra: 27.3%/Great: 20.5%/Net: 13.7%/Level: 27.3%(optimal conditions)/Fast: 13.7%/Heavy: 5.9%/ALL OTHERS: 13.7%
Eevee/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Vaporeon/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 61.5%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Jolteon/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 70.3%/Heavy: 9.8%/ALL OTHERS: 17.6%
Flareon/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Snorlax/Repeat: 34.2%/Dusk: 29.3%/Ultra: 19.5%/Great: 14.6%/Net: 9.8%/Level: 19.5%(optimal conditions)/Fast: 9.8%/Heavy: 25.4%/ALL OTHERS: 9.8%
Hoothoot/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 99.6%/Level: 100%(optimal conditions)/Fast: 99.6%/Heavy: 91.8%/ALL OTHERS: 99.6%
Noctowl/Repeat: 100%/Dusk: 100%/Ultra: 70.3%/Great: 52.7%/Net: 35.2%/Level: 70.3%(optimal conditions)/Fast: 35.2%/Heavy: 27.3%/ALL OTHERS: 35.2%
Chinchou/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 74.2%/Level: 100%(optimal conditions)/Fast: 74.2%/Heavy: 66.4%/ALL OTHERS: 74.2%
Lanturn/Repeat: 100%/Dusk: 87.9%/Ultra: 58.6%/Great: 43.9%/Net: 29.3%/Level: 58.6%(optimal conditions)/Fast: 29.3%/Heavy: 21.5%/ALL OTHERS: 29.3%
Pichu/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 74.2%/Level: 100%(optimal conditions)/Fast: 74.2%/Heavy: 66.4%/ALL OTHERS: 74.2%
Cleffa/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 87.9%/Net: 58.6%/Level: 100%(optimal conditions)/Fast: 58.6%/Heavy: 50.8%/ALL OTHERS: 58.6%
Igglybuff/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 99.6%/Net: 66.4%/Level: 100%(optimal conditions)/Fast: 66.4%/Heavy: 58.6%/ALL OTHERS: 66.4%
Togepi/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 74.2%/Level: 100%(optimal conditions)/Fast: 74.2%/Heavy: 66.4%/ALL OTHERS: 74.2%
Togetic/Repeat: 100%/Dusk: 87.9%/Ultra: 58.6%/Great: 43.9%/Net: 29.3%/Level: 58.6%(optimal conditions)/Fast: 29.3%/Heavy: 21.5%/ALL OTHERS: 29.3%
Natu/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 74.2%/Level: 100%(optimal conditions)/Fast: 74.2%/Heavy: 66.4%/ALL OTHERS: 74.2%
Xatu/Repeat: 100%/Dusk: 87.9%/Ultra: 58.6%/Great: 43.9%/Net: 29.3%/Level: 58.6%(optimal conditions)/Fast: 29.3%/Heavy: 21.5%/ALL OTHERS: 29.3%
Bellossom/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Sudowoodo/Repeat: 88.9%/Dusk: 76.2%/Ultra: 50.8%/Great: 38.1%/Net: 25.4%/Level: 50.8%(optimal conditions)/Fast: 25.4%/Heavy: 17.6%/ALL OTHERS: 25.4%
Wooper/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 100%/Level: 100%(optimal conditions)/Fast: 99.6%/Heavy: 91.8%/ALL OTHERS: 99.6%
Quagsire/Repeat: 100%/Dusk: 100%/Ultra: 70.3%/Great: 52.7%/Net: 100%/Level: 70.3%(optimal conditions)/Fast: 35.2%/Heavy: 27.3%/ALL OTHERS: 35.2%
Espeon/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 70.3%/Heavy: 9.8%/ALL OTHERS: 17.6%
Umbreon/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Wobbuffet/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Steelix/Repeat: 34.2%/Dusk: 29.3%/Ultra: 19.5%/Great: 14.6%/Net: 9.8%/Level: 19.5%(optimal conditions)/Fast: 9.8%/Heavy: 21.5%/ALL OTHERS: 9.8%
Qwilfish/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 61.5%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 21.5%/ALL OTHERS: 17.6%
Shuckle/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 100%/Level: 100%(optimal conditions)/Fast: 74.2%/Heavy: 91.8%/ALL OTHERS: 74.2%
Sneasel/Repeat: 82%/Dusk: 70.3%/Ultra: 46.9%/Great: 35.2%/Net: 23.4%/Level: 46.9%(optimal conditions)/Fast: 93.8%/Heavy: 39.1%/ALL OTHERS: 23.4%
Swinub/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 87.9%/Level: 100%(optimal conditions)/Fast: 87.9%/Heavy: 9.8%/ALL OTHERS: 87.9%
Piloswine/Repeat: 100%/Dusk: 87.9%/Ultra: 58.6%/Great: 43.9%/Net: 29.3%/Level: 58.6%(optimal conditions)/Fast: 29.3%/Heavy: 91.8%/ALL OTHERS: 29.3%
Corsola/Repeat: 82%/Dusk: 70.3%/Ultra: 46.9%/Great: 35.2%/Net: 23.4%/Level: 46.9%(optimal conditions)/Fast: 23.4%/Heavy: 11.7%/ALL OTHERS: 23.4%
Remoraid/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 100%/Level: 100%(optimal conditions)/Fast: 74.2%/Heavy: 91.8%/ALL OTHERS: 74.2%
Octillery/Repeat: 100%/Dusk: 87.9%/Ultra: 58.6%/Great: 43.9%/Net: 100%/Level: 58.6%(optimal conditions)/Fast: 29.3%/Heavy: 66.4%/ALL OTHERS: 29.3%
Delibird/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 21.5%/ALL OTHERS: 17.6%
Mantine/Repeat: 34.2%/Dusk: 29.3%/Ultra: 19.5%/Great: 14.6%/Net: 34.2%/Level: 19.5%(optimal conditions)/Fast: 9.8%/Heavy: 17.6%/ALL OTHERS: 9.8%
Tyrogue/Repeat: 100%/Dusk: 87.9%/Ultra: 58.6%/Great: 43.9%/Net: 29.3%/Level: 58.6%(optimal conditions)/Fast: 29.3%/Heavy: 21.5%/ALL OTHERS: 29.3%
Hitmontop/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Larvitar/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Pupitar/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 17.6%/ALL OTHERS: 17.6%
Tyranitar/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 17.6%/ALL OTHERS: 17.6%
Zigzagoon/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 99.6%/Level: 100%(optimal conditions)/Fast: 99.6%/Heavy: 91.8%/ALL OTHERS: 99.6%
Linoone/Repeat: 100%/Dusk: 100%/Ultra: 70.3%/Great: 52.7%/Net: 35.2%/Level: 70.3%(optimal conditions)/Fast: 35.2%/Heavy: 27.3%/ALL OTHERS: 35.2%
Lotad/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 100%/Level: 100%(optimal conditions)/Fast: 99.6%/Heavy: 91.8%/ALL OTHERS: 99.6%
Lombre/Repeat: 100%/Dusk: 100%/Ultra: 93.8%/Great: 70.3%/Net: 100%/Level: 93.8%(optimal conditions)/Fast: 46.9%/Heavy: 39.1%/ALL OTHERS: 46.9%
Ludicolo/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 61.5%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Seedot/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 99.6%/Level: 100%(optimal conditions)/Fast: 99.6%/Heavy: 91.8%/ALL OTHERS: 99.6%
Nuzleaf/Repeat: 100%/Dusk: 100%/Ultra: 93.8%/Great: 70.3%/Net: 46.9%/Level: 93.8%(optimal conditions)/Fast: 46.9%/Heavy: 39.1%/ALL OTHERS: 46.9%
Shiftry/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Wingull/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 100%/Level: 100%(optimal conditions)/Fast: 74.2%/Heavy: 66.4%/ALL OTHERS: 74.2%
Pelipper/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 61.5%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Ralts/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 91.8%/Level: 100%(optimal conditions)/Fast: 91.8%/Heavy: 84%/ALL OTHERS: 91.8%
Kirlia/Repeat: 100%/Dusk: 100%/Ultra: 93.8%/Great: 70.3%/Net: 46.9%/Level: 93.8%(optimal conditions)/Fast: 46.9%/Heavy: 39.1%/ALL OTHERS: 46.9%
Gardevoir/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Nincada/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 100%/Level: 100%(optimal conditions)/Fast: 99.6%/Heavy: 91.8%/ALL OTHERS: 99.6%
Ninjask/Repeat: 100%/Dusk: 100%/Ultra: 93.8%/Great: 70.3%/Net: 100%/Level: 93.8%(optimal conditions)/Fast: 100%/Heavy: 39.1%/ALL OTHERS: 46.9%
Shedinja/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 61.5%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Sableye/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Mawile/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Electrike/Repeat: 100%/Dusk: 100%/Ultra: 93.8%/Great: 70.3%/Net: 46.9%/Level: 93.8%(optimal conditions)/Fast: 46.9%/Heavy: 39.1%/ALL OTHERS: 46.9%
Manectric/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 70.3%/Heavy: 9.8%/ALL OTHERS: 17.6%
Roselia/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 87.9%/Net: 58.6%/Level: 100%(optimal conditions)/Fast: 58.6%/Heavy: 50.8%/ALL OTHERS: 58.6%
Wailmer/Repeat: 100%/Dusk: 100%/Ultra: 97.7%/Great: 73.2%/Net: 100%/Level: 97.7%(optimal conditions)/Fast: 48.8%/Heavy: 48.8%/ALL OTHERS: 48.8%
Wailord/Repeat: 82%/Dusk: 70.3%/Ultra: 46.9%/Great: 35.2%/Net: 82%/Level: 46.9%(optimal conditions)/Fast: 23.4%/Heavy: 35.2%/ALL OTHERS: 23.4%
Torkoal/Repeat: 100%/Dusk: 100%/Ultra: 70.3%/Great: 52.7%/Net: 35.2%/Level: 70.3%(optimal conditions)/Fast: 35.2%/Heavy: 27.3%/ALL OTHERS: 35.2%
Trapinch/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 99.6%/Level: 100%(optimal conditions)/Fast: 99.6%/Heavy: 91.8%/ALL OTHERS: 99.6%
Vibrava/Repeat: 100%/Dusk: 100%/Ultra: 93.8%/Great: 70.3%/Net: 46.9%/Level: 93.8%(optimal conditions)/Fast: 46.9%/Heavy: 39.1%/ALL OTHERS: 46.9%
Flygon/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Lunatone/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Solrock/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 17.6%/ALL OTHERS: 17.6%
Barboach/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 100%/Level: 100%(optimal conditions)/Fast: 74.2%/Heavy: 66.4%/ALL OTHERS: 74.2%
Whiscash/Repeat: 100%/Dusk: 87.9%/Ultra: 58.6%/Great: 43.9%/Net: 100%/Level: 58.6%(optimal conditions)/Fast: 29.3%/Heavy: 21.5%/ALL OTHERS: 29.3%
Corphish/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 100%/Level: 100%(optimal conditions)/Fast: 80.1%/Heavy: 72.3%/ALL OTHERS: 80.1%
Crawdaunt/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 90.8%/Net: 100%/Level: 100%(optimal conditions)/Fast: 60.5%/Heavy: 52.7%/ALL OTHERS: 60.5%
Baltoy/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 99.6%/Level: 100%(optimal conditions)/Fast: 99.6%/Heavy: 91.8%/ALL OTHERS: 99.6%
Claydol/Repeat: 100%/Dusk: 100%/Ultra: 70.3%/Great: 52.7%/Net: 35.2%/Level: 70.3%(optimal conditions)/Fast: 35.2%/Heavy: 35.2%/ALL OTHERS: 35.2%
Feebas/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 100%/Level: 100%(optimal conditions)/Fast: 99.6%/Heavy: 91.8%/ALL OTHERS: 99.6%
Milotic/Repeat: 82%/Dusk: 70.3%/Ultra: 46.9%/Great: 35.2%/Net: 82%/Level: 46.9%(optimal conditions)/Fast: 23.4%/Heavy: 23.4%/ALL OTHERS: 23.4%
Duskull/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 74.2%/Level: 100%(optimal conditions)/Fast: 74.2%/Heavy: 66.4%/ALL OTHERS: 74.2%
Dusclops/Repeat: 100%/Dusk: 100%/Ultra: 70.3%/Great: 52.7%/Net: 35.2%/Level: 70.3%(optimal conditions)/Fast: 35.2%/Heavy: 27.3%/ALL OTHERS: 35.2%
Wynaut/Repeat: 100%/Dusk: 100%/Ultra: 97.7%/Great: 73.2%/Net: 48.8%/Level: 97.7%(optimal conditions)/Fast: 48.8%/Heavy: 41%/ALL OTHERS: 48.8%
Snorunt/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 74.2%/Level: 100%(optimal conditions)/Fast: 74.2%/Heavy: 66.4%/ALL OTHERS: 74.2%
Glalie/Repeat: 100%/Dusk: 87.9%/Ultra: 58.6%/Great: 43.9%/Net: 29.3%/Level: 58.6%(optimal conditions)/Fast: 29.3%/Heavy: 37.1%/ALL OTHERS: 29.3%
Budew/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 99.6%/Level: 100%(optimal conditions)/Fast: 99.6%/Heavy: 91.8%/ALL OTHERS: 99.6%
Roserade/Repeat: 100%/Dusk: 87.9%/Ultra: 58.6%/Great: 43.9%/Net: 29.3%/Level: 58.6%(optimal conditions)/Fast: 29.3%/Heavy: 21.5%/ALL OTHERS: 29.3%
Combee/Repeat: 100%/Dusk: 100%/Ultra: 93.8%/Great: 70.3%/Net: 100%/Level: 93.8%(optimal conditions)/Fast: 46.9%/Heavy: 39.1%/ALL OTHERS: 46.9%
Vespiquen/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 61.5%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Cherubi/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 74.2%/Level: 100%(optimal conditions)/Fast: 74.2%/Heavy: 66.4%/ALL OTHERS: 74.2%
